FID,OBJECTID,SHAPE,WC_ID,BEZIRK,STRASSE,ORTSANGABE,AKTIV,AKTIV_TXT,OEFFNUNGSZEIT,EINSCHRAENKUNGEN,PERSONALBETREUUNG,KATEGORIE,AUSSTATTUNG,ICON,ICON_TXT,KONTAKT,ABTEILUNG,INFORMATION,SE_ANNO_CAD_DATA
WCANLAGE2OGD.616654,616654,POINT (16.436394799531676 48.21912631257064),M45_MWC69,22,An der unteren Alten Donau,ggü. 211,-1,JA,00:00-24:00 Uhr,Wintersperre,nein - gratis,unisex 1; barrierefrei 1,,B,Barrierefrei,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616655,616655,POINT (16.43640481778391 48.2229255355559),M45_MWC57,22,An der unteren Alten Donau,ggü. 151,-1,JA,00:00-24:00 Uhr,Wintersperre,nein - gratis,unisex 1,,U,Damen und Herren,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616656,616656,POINT (16.43637933390332 48.222929364599096),M45_MWC58,22,An der unteren Alten Donau,ggü. 151,-1,JA,00:00-24:00 Uhr,Wintersperre,nein - gratis,unisex 1,,U,Damen und Herren,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616657,616657,POINT (16.436379370603134 48.22297435034202),M45_MWC71,22,An der unteren Alten Donau,ggü. 151,-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,nein - gratis,unisex 1; barrierefrei 1,,B,Barrierefrei,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616658,616658,POINT (16.43134159690921 48.216893807314875),M45_MWC76,22,Neue Donau,"ND - km 10,3 Grillplatz 8",-1,JA,00:00-24:00 Uhr,Wintersperre,nein - gratis,unisex 1,,U,Damen und Herren,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616659,616659,POINT (16.431361687929517 48.21688372727645),M45_MWC77,22,Neue Donau,"ND - km 10,3 Grillplatz 8",-1,JA,00:00-24:00 Uhr,Wintersperre,nein - gratis,unisex 1; barrierefrei 1,,B,Barrierefrei,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616660,616660,POINT (16.43227935380907 48.21612634065323),M45_MWC82,22,Neue Donau,"ND - km 10,3 Grillplatz 8",-1,JA,00:00-24:00 Uhr,Wintersperre,nein - gratis,unisex 1; barrierefrei 1,,B,Barrierefrei,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616661,616661,POINT (16.464809689823618 48.191338038185286),M45_FWC23,22,Donauinsel,"zw. ND-km 6,7 - 6,6",-1,JA,00:00-24:00 Uhr,Wintersperre,nein - gratis,Damen 1; Herren 1; Pissoir,,U,Damen und Herren,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616662,616662,POINT (16.402327627195373 48.23892808274105),M45_MWC85,21,Neue Donau,Grillzone Brigittenauer Bucht,-1,JA,00:00-24:00 Uhr,Wintersperre,nein - gratis,unisex 1,,U,Damen und Herren,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616663,616663,POINT (16.415182784077288 48.247077811599944),M45_MWC43,21,An der Oberen Alten Donau,Mühlschüttelpark,-1,JA,00:00-24:00 Uhr,Wintersperre,nein - gratis,unisex 1; barrierefrei 1,,B,Barrierefrei,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616664,616664,POINT (16.412004781574282 48.24841975958984),M45_MWC87,21,An der Oberen Alten Donau,Mühlschüttelpark,-1,JA,00:00-24:00 Uhr,Wintersperre,nein - gratis,unisex 1,,U,Damen und Herren,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616665,616665,POINT (16.411248555250975 48.23120602834381),M45_FWC24,22,Copa Beach,"ND km 12,6 - stromauf der Reichsbrücke",-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,"nein - 0,50 €",Unisex 1; barrierefrei 1; Pissoir,Euro-Key,B,Barrierefrei,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616666,616666,POINT (16.48033079074323 48.18436163169777),M45_MWC14,22,Neue Donau,"zw. ND-km 5,3 - 5,2",-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,nein - gratis,unisex 1,,U,Damen und Herren,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616667,616667,POINT (16.486147312594266 48.18062420025266),M45_MWC59,22,Neue Donau,"zw. ND-km 4,6 - 4,5",-1,JA,00:00-24:00 Uhr,Wintersperre,nein - gratis,unisex 1,,U,Damen und Herren,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616668,616668,POINT (16.497452820266457 48.17342911650003),M45_MWC15,22,Neue Donau,"zw. ND-km 3,5 - 3,4",-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,nein - gratis,unisex 1,,U,Damen und Herren,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616669,616669,POINT (16.42910332242434 48.21957963957639),M45_MWC30,22,Schnitterweg,ggü. Strombucht,-1,JA,00:00-24:00 Uhr,Wintersperre,nein - gratis,unisex 1,,U,Damen und Herren,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616670,616670,POINT (16.430829795328357 48.21447937345986),M45_MWC19,22,Donauinsel,Grillplatz Nr. 9 und 10,-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,nein - gratis,unisex 1,,U,Damen und Herren,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616671,616671,POINT (16.437840536059248 48.21509341401364),M45_MWC29,22,An der unteren Alten Donau,ggü. 273,-1,JA,00:00-24:00 Uhr,Wintersperre,nein - gratis,unisex 1,,U,Damen und Herren,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616672,616672,POINT (16.437869881458383 48.21502890043579),M45_MWC67,22,An der unteren Alten Donau,ggü. 273,-1,JA,00:00-24:00 Uhr,Wintersperre,nein - gratis,unisex 1,,U,Damen und Herren,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616673,616673,POINT (16.439029679889536 48.21173457253814),M45_BKZ03,22,Neue Donau,Barbados Inseltreff,-1,JA,11:00-23:00 Uhr,Wintersperre,11 - 23 Uhr - gratis,,,U,Damen und Herren,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616674,616674,POINT (16.447001670436673 48.20609403645229),M45_MWC05,22,Neue Donau,Hundebadebereich - Hundeauslaufzone,-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,nein - gratis,unisex 1,,U,Damen und Herren,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616675,616675,POINT (16.452012939864023 48.20309387865854),M45_MWC06,22,Neue Donau,Grillzone Steinspornbrücke,-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,nein - gratis,unisex 1,,U,Damen und Herren,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616676,616676,POINT (16.450728953613247 48.20396018121064),M45_MWC08,22,Neue Donau,Grillzone Steinspornbrücke,-1,JA,00:00-24:00 Uhr,Wintersperre,nein - gratis,unisex 1,,U,Damen und Herren,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.616677,616677,POINT (16.45835383196711 48.198881040617366),M45_MWC10,22,Neue Donau,Grillzone Steinspornbrücke,-1,JA,00:00-24:00 Uhr,Wintersperre,nein - gratis,unisex 1,,U,Damen und Herren,0043 1 4000 96530,MA 45,https://www.wien.gv.at/umwelt/gewaesser/,
WCANLAGE2OGD.615347,615347,POINT (16.397643792297558 48.25791879096681),M48_0137,21,Am Spitz,"ONr. 1, Amtshaus",-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,Mo-Fr: 10-18 Uhr,Herren 2; Herren Nacht 1; Damen Nacht 1; Damen 4; Pissoir,"Defibrilator, Feuerlöscher, Erste Hilfe Kasten",U,Damen und Herren,+43 (1) 546 48,MA 48,https://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/,
WCANLAGE2OGD.615348,615348,POINT (16.36040240245918 48.21096913398979),M48_0004,1,Rathauspark / Ring,,-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,"Mo-So, Ft: 10-17 Uhr",Pissoir; Damen 6; Herren 3,"Defibrilator, Feuerlöscher, Erste Hilfe Kasten",U,Damen und Herren,+43 (1) 546 48,MA 48,https://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/,
WCANLAGE2OGD.615349,615349,POINT (16.36269131022111 48.213928717187535),M48_0008,1,Schottentor / Passage,,-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,"Mo-Fr: 6-20 Uhr; Sa: 7-19 Uhr, So, Ft: 9-19 Uhr",barrierefrei 1; Pissoir; Damen 7; Herren 6,"Defibrilator, Feuerlöscher, Erste Hilfe Kasten",B,Barrierefrei,+43 (1) 546 48,MA 48,https://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/,
WCANLAGE2OGD.615350,615350,POINT (16.4482897796409 48.15225166558636),M48_0069,11,Zentralfriedhof / Tor III,,-1,JA,siehe Personalbetreuung,außerhalb der Personalbetreuung geschlossen,Okt-Apr Mo-So: 8-18 Uhr; Mai-Sep Mo-So: 8-20 Uhr,Pissoir; Herren 1; Damen 2,Euro Key,U,Damen und Herren,+43 (1) 546 48,MA 48,https://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/,
WCANLAGE2OGD.615351,615351,POINT (16.40187012512534 48.26135078857823),M48_0140,21,Floridsdorfer Markt / Pitkagasse,,-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,"Mo-Do: 7-15 Uhr, Fr: 7-18 Uhr, Sa: 7-14 Uhr, So, Ft: 9-16 Uhr",Unisex 2; barrierefrei 1,"Defibrilator, Feuerlöscher, Erste Hilfe Kasten, Euro Key",B,Barrierefrei,+43 (1) 546 48,MA 48,https://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/,
WCANLAGE2OGD.615352,615352,POINT (16.367637158949933 48.21037272062402),M48_0002,1,Irisgasse / Bognergasse,,-1,JA,siehe Personalbetreuung,außerhalb der Personalbetreuung geschlossen,"Jan-Apr, Okt-Nov Mo-Sa: 10-18 Uhr; Mai-Sep, Dez Mo-So, Ft: 10-19 Uhr",Pissoir; Damen 5; Herren 2,"Defibrilator, Feuerlöscher, Erste Hilfe Kasten",U,Damen und Herren,+43 (1) 546 48,MA 48,https://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/,
WCANLAGE2OGD.615353,615353,POINT (16.36385904435257 48.198900514377314),M48_0038,6,Linke Wienzeile,ggü. ONr. 12,-1,JA,siehe Personalbetreuung,Sonn- und Feiertag geschlossen,"Mo-Fr: 6-18:30 Uhr, Sa: 6-17 Uhr",barrierefrei 1; Pissoir; Herren 3; Damen 4,"Defibrilator, Feuerlöscher, Erste Hilfe Kasten, Euro Key",B,Barrierefrei,+43 (1) 546 48,MA 48,https://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/,
WCANLAGE2OGD.615354,615354,POINT (16.369176943268506 48.20914984928735),M48_0001,1,Am Graben,,-1,JA,siehe Personalbetreuung,außerhalb der Personalbetreuung geschlossen,"Jan-Apr, Okt-Nov Mo-Sa: 10-20 So, Ft:10-17; Mai-Sep, Dez Mo-Sa: 10-21 Uhr, So+Ft: 10-20 Uhr",Pissoir; Damen 6; Herren 5,"Defibrilator, Feuerlöscher, Erste Hilfe Kasten",U,Damen und Herren,+43 (1) 546 48,MA 48,https://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/,
WCANLAGE2OGD.615355,615355,POINT (16.372208180476516 48.208696579153425),WL_002,1,SANIFAIR U-Bahn Station Stephansplatz,,-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,"8:00-20:00 Uhr, Nacht/Barrierefreies - WC 24/7 geöffnet",Damen 7; Herren 3; Eltern-Kind 1; Pissoir 7; barrierefrei 1,"Babywickelraum, Wickeltisch, Barrierefreies WC, Eurokey, Nacht WC, Handdesinfektion",B,Barrierefrei,+43 (0) 800 95 55 777,Wr. Linien,,
WCANLAGE2OGD.615356,615356,POINT (16.404679920801126 48.22364594630346),M48_0012,2,Mexikoplatz,ggü. ONr. 16/Ennsgasse,-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,nein - gratis,Unisex 1; barrierefrei 1,Euro Key,B,Barrierefrei,+43 (1) 546 48,MA 48,https://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/,
WCANLAGE2OGD.615357,615357,POINT (16.401576965081418 48.22134428886335),M48_0020,2,Vorgartenmarkt / Ennsgasse,,-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,"Mo-Do: 8-13 Uhr, Fr-Sa: 7-13 Uhr, So: 9-14 Uhr",Unisex 2; barrierefrei 1; Pissoir; Damen 2; Herren 2,"Defibrilator, Feuerlöscher, Erste Hilfe Kasten",B,Barrierefrei,+43 (1) 546 48,MA 48,https://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/,
WCANLAGE2OGD.615358,615358,POINT (16.391918056228665 48.25601417567123),M48_0139,21,Floridsdorfer Aupark,Eingang ggü. Frömmelgasse,-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,nein - gratis,Pissoir,keine,M,Herren,+43 (1) 546 48,MA 48,https://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/,
WCANLAGE2OGD.615359,615359,POINT (16.38417204357278 48.270088582095234),M48_0143,21,Lorettoplatz / Überfuhrstraße,gegenüber ONr. 59,-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,nein - gratis,Unisex 1; barrierefrei 1; Pissoir,Euro Key,B,Barrierefrei,+43 (1) 546 48,MA 48,https://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/,
WCANLAGE2OGD.615360,615360,POINT (16.407341626537352 48.25305942232567),M48_0142,21,Kinzerplatz / Scheffelstraße,,-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,nein - gratis,Pissoir,keine,M,Herren,+43 (1) 546 48,MA 48,https://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/,
WCANLAGE2OGD.615361,615361,POINT (16.479331768496102 48.24680511129742),M48_0150,22,Badeteich Hirschstetten,Spargefeldstraße/Bibernellweg,-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,nein - gratis,Unisex 1; barrierefrei 1; Herren 1; Pissoir,Euro Key,B,Barrierefrei,+43 (1) 546 48,MA 48,https://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/,
WCANLAGE2OGD.615362,615362,POINT (16.37200754819788 48.17272347198645),M48_0057,10,Arthaberplatz / Laxenburger Straße,Bushaltestelle,-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,nein - gratis,Unisex 2; barrierefrei 1,Euro Key,B,Barrierefrei,+43 (1) 546 48,MA 48,https://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/,
WCANLAGE2OGD.615363,615363,POINT (16.36326906972637 48.23076193296071),M48_0132,20,Brigittenauer Lände,ggü. Gerhardusgasse,-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,nein - gratis,Unisex 1; barrierefrei 1; Pissoir,Euro Key,B,Barrierefrei,+43 (1) 546 48,MA 48,https://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/,
WCANLAGE2OGD.615364,615364,POINT (16.39663795669087 48.226339998454705),M48_0017,2,Rudolf-Bednar-Park,,-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,nein - gratis,Unisex 1; barrierefrei 1,Euro Key,B,Barrierefrei,+43 (1) 546 48,MA 48,https://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/,
WCANLAGE2OGD.615365,615365,POINT (16.384395807061395 48.217699404443415),M48_0013,2,Odeongasse,neben 2A/ Tiefgarageneingang,-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,nein - gratis,Unisex 1; barrierefrei 1; Pissoir,Euro Key,B,Barrierefrei,+43 (1) 546 48,MA 48,https://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/,
WCANLAGE2OGD.615366,615366,POINT (16.400306412305774 48.22064896733795),M48_0011,2,Max-Winter-Platz,,-1,JA,06:00-21:30 Uhr (Parköffnungszeiten),ganzjährig ohne Einschränkungen,nein - gratis,Unisex 1; barrierefrei 1; Pissoir,Euro Key,B,Barrierefrei,+43 (1) 546 48,MA 48,https://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/,
WCANLAGE2OGD.615367,615367,POINT (16.251694446589383 48.20202880913237),M48_0086,14,Ferdinand-Wolf-Park,,-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,nein - gratis,Unisex 1; Pissoir,keine,U,Damen und Herren,+43 (1) 546 48,MA 48,https://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/,
WCANLAGE2OGD.615368,615368,POINT (16.27956211046161 48.20052744597549),M48_0083,14,Baumgartner Friedhof / Waidhausenstraße,,-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,nein - gratis,Unisex 1; Pissoir,keine,U,Damen und Herren,+43 (1) 546 48,MA 48,https://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/,
WCANLAGE2OGD.615369,615369,POINT (16.258756216032896 48.19834371110853),M48_0088,14,Keißlergasse / Brudermanngasse,,-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,nein - gratis,Unisex 1; barrierefrei 1; Pissoir,Euro Key,B,Barrierefrei,+43 (1) 546 48,MA 48,https://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/,
WCANLAGE2OGD.615370,615370,POINT (16.341083923012853 48.20743731732136),M48_0045,7,Josef-Strauß-Park,ggü. Enzingergasse,-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,nein - gratis,Unisex 1; barrierefrei 1,Euro Key,B,Barrierefrei,+43 (1) 546 48,MA 48,https://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/,
WCANLAGE2OGD.615371,615371,POINT (16.352378829391068 48.229451917844926),M48_0053,9,Helene-Deutsch-Park,Pulverturmg./Sobieskig.,-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,"nein - 0,50 €",Unisex 1; barrierefrei 1,Euro Key,B,Barrierefrei,+43 (1) 546 48,MA 48,https://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/,
WCANLAGE2OGD.615372,615372,POINT (16.355239211746305 48.187885079545474),M48_0032,5,Bacherplatz,ggü. ONr. 10,-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,nein - gratis,Unisex 1; barrierefrei 1; Pissoir,Euro Key,B,Barrierefrei,+43 (1) 546 48,MA 48,https://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/,
WCANLAGE2OGD.615373,615373,POINT (16.255899602170274 48.20254212360925),M48_0087,14,Hütteldorf,Endstelle Linie 49,-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,nein - gratis,Unisex 1; barrierefrei 1,Euro Key,B,Barrierefrei,+43 (1) 546 48,MA 48,https://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/,
WCANLAGE2OGD.615374,615374,POINT (16.35651442901202 48.19659874839656),M48_0041,6,Linke Wienzeile,ggü. ONr. 60,-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,nein - gratis,Unisex barrierefrei 1; Pissoir,"Defibrilator, Feuerlöscher, Erste Hilfe Kasten, Euro Key",B,Barrierefrei,+43 (1) 546 48,MA 48,https://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/,
WCANLAGE2OGD.615375,615375,POINT (16.387057297200947 48.15455644851359),M48_0060,10,Volkspark Laaerberg,Einfahrt Alaudag.Vis aVis Ada Christeng,-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,nein - gratis,Unisex 1; barrierefrei 1,Euro Key,B,Barrierefrei,+43 (1) 546 48,MA 48,https://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/,
WCANLAGE2OGD.615376,615376,POINT (16.418190019387797 48.24069189428313),M48_0157,22,WIG 64,"Donaupark, Eingang D, Parkplatz",-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,nein - gratis,Unisex 1; barrierefrei 1; Pissoir,Euro Key,B,Barrierefrei,+43 (1) 546 48,MA 48,https://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/,
WCANLAGE2OGD.615377,615377,POINT (16.412042024656497 48.24286522464463),M48_0156,22,WIG 64,"Donaupark, Eingang C, Tennisplatz",-1,JA,00:00-24:00 Uhr,ganzjährig ohne Einschränkungen,nein - gratis,Damen 1; barrierefrei 1; Herren 1; Pissoir,Euro Key,B,Barrierefrei,+43 (1) 546 48,MA 48,https://www.wien.gv.at/umwelt/ma48/sauberestadt/wc/,
